periodo,inflacion
Feb.1949,1.11731843575451
Mar.1949,0.552486187845131
Abr.1949,3.29670329670299
May.1949,1.59574468085121
Jun.1949,1.57068062827239
Jul.1949,1.54639175257688
Ago.1949,3.04568527918812
Sep.1949,0.985221674877113
Oct.1949,-0.487804878049175
Nov.1949,2.9411764705885
Dic.1949,0.476190476190346
Ene.1950,1.42180094786743
Feb.1950,-1.22413910825604
Mar.1950,0.126852539486031
Abr.1950,-0.304060763310905
May.1950,1.35973764441123
Jun.1950,-0.307164960760066
Jul.1950,0.293439445422227
Ago.1950,-1.06374115546744
Sep.1950,0.257704852751774
Oct.1950,4.63308283225919
Nov.1950,1.24038473361157
Dic.1950,1.03822777896478
Ene.1951,2.89173201620861
Feb.1951,-0.748053423353188
Mar.1951,0.281429513096118
Abr.1951,0.451714678283891
May.1951,0.156910897032769
Jun.1951,0.89604694520994
Jul.1951,0.155273746797357
Ago.1951,0.761929792859788
Sep.1951,0.639834990877161
Oct.1951,0.393392675508999
Nov.1951,0.796701659678074
Dic.1951,0.965435970368252
Ene.1952,0.277371938328633
Feb.1952,0.282064469443158
Mar.1952,0.749451298134725
Abr.1952,0.324207398995111
May.1952,0.662477487459215
Jun.1952,0.501168337817371
Jul.1952,0.897959003328976
Ago.1952,1.05529768319985
Sep.1952,0.539543147250299
Oct.1952,0.0865560808630592
Nov.1952,0.790438753875574
Dic.1952,0.391261936582301
Ene.1953,0.319652525093796
Feb.1953,0.148241467909965
Mar.1953,0.251807896971868
Abr.1953,0.130678946258035
May.1953,7.59152562430696
Jun.1953,-0.534035180098831
Jul.1953,0.0205891963720927
Ago.1953,-0.305606965647285
Sep.1953,0.673443546349037
Oct.1953,0.320270042695375
Nov.1953,-0.0408889193528374
Dic.1953,-0.0346121990389898
Ene.1954,0.524087451929757
Feb.1954,0.454032935454179
Mar.1954,0.0155855446134223
Abr.1954,0.969270295696744
May.1954,0.0509306614627832
Jun.1954,-0.189735737879483
Jul.1954,0.910299049120011
Ago.1954,0.23586009867235
Sep.1954,0.462969936922917
Oct.1954,0.670722477532444
Nov.1954,0.444168951151272
Dic.1954,0.180491788480303
Ene.1955,0.355829341513706
Feb.1955,0.459291896049759
Mar.1955,0.492933716455794
Abr.1955,0.585358621715443
May.1955,0.437569230749138
Jun.1955,0.177492076020893
Jul.1955,-0.0527140911350025
Ago.1955,0.271034558211965
Sep.1955,0.410566721016032
Oct.1955,0.507835755105866
Nov.1955,0.215716967663893
Dic.1955,0.492624831316879
Ene.1956,0.783473992100314
Feb.1956,0.289557338908175
Mar.1956,0.443749109870004
Abr.1956,0.535244009963557
May.1956,0.480281457030357
Jun.1956,0.445746544999336
Jul.1956,0.73961410401688
Ago.1956,0.59704391513106
Sep.1956,0.739465467659025
Oct.1956,0.563172621020824
Nov.1956,-0.0706820457147306
Dic.1956,0.432553072458139
Ene.1957,1.1024581073876
Feb.1957,0.576029282834128
Mar.1957,1.39985861864712
Abr.1957,0.55037428950118
May.1957,0.0692367073714361
Jun.1957,0.715386282226036
Jul.1957,1.04212565908217
Ago.1957,1.21866735387565
Sep.1957,-0.14574682962635
Oct.1957,-0.370610117506178
Nov.1957,0.175803017039112
Dic.1957,0.36116217154733
Ene.1958,1.02636907999338
Feb.1958,1.66187955655975
Mar.1958,0.699533690172864
Abr.1958,0.438612375893699
May.1958,0.550140922588201
Jun.1958,0.921994425647242
Jul.1958,1.27779800874824
Ago.1958,1.65216658184215
Sep.1958,-0.631677272982046
Oct.1958,-0.352509768810002
Nov.1958,1.03886597529069
